Mean,Variance,Std Dev,Skewness,Kurtosis,Peak-to-Peak Amplitude,RMS
-0.1018706921118489,157.8907718212031,12.565459475132737,-0.09401269138876507,1.3183484065332562,177.898,12.565872411381335
-0.18141381737371384,320.6993205237699,17.908079755344232,-6.414423042037642,197.16996843214056,785.69,17.908998617926798
0.04675490276233784,119.88261628268012,10.949092030058022,0.001125604740375892,0.5063640837380943,127.545,10.949191856187946
-0.012303717893799656,76.2066587937,8.729642535276001,-0.06835227157095314,1.7817861173280871,157.65300000000002,8.729651205814243
-0.0037113137123531282,176.55678947468164,13.28746738376737,-0.06147181325017826,0.8385265534621937,179.386,13.287467902069647
0.02093997799730222,150.99032170339618,12.287811916830277,0.007305507704808326,1.1820568783909096,158.42000000000002,12.287829758996283
-0.010645163991164702,54.2771496454311,7.367302738820436,-0.035085842249237706,1.851502756614697,107.239,7.367310429522264
0.01047010882926994,113.67926444943465,10.662047854396201,0.1097965755116061,2.6374117015323213,217.827,10.662052995207516
-0.011958802726560264,67.37749243879448,8.208379403925873,-0.06723441783040693,0.8783881407667891,117.35300000000001,8.20838811532186
-0.01017568148908148,75.21878112166172,8.672876173545989,-0.04691124530481574,1.029479115497744,112.26,8.672882142987733
-0.03620088573725635,87.04634433111588,9.329863039247462,0.05145674703237622,1.198449459366664,109.12299999999999,9.32993327067477
0.035295809929996626,39.81095839285485,6.309592569481397,0.059933474388336676,1.9760078150796225,102.082,6.3096912909470815
0.03324813870168981,144.7372483109726,12.030679461733348,0.10686534356990497,1.2730798495215776,154.394,12.03072540413502
-0.0744011386098351,81.69277653407696,9.038405641155798,-0.29488418252556586,1.529909574030225,125.281,9.038711858639115
-0.13517064933559042,220.79005813544984,14.859005960542914,-0.8664395159493612,14.925008642097279,377.61,14.85962076366324
0.0500819313007453,179.8333656375319,13.41019633105839,0.18699103858722013,2.4911419920517544,234.471,13.410289849118653
-0.04547220206223939,62.72611844080816,7.919982224778548,-0.0031019383603776572,0.46276380950819407,90.418,7.92011276194781
-0.06701813976489303,112.07340024771918,10.586472512018306,-0.4074177087435271,1.8936768324390236,127.255,10.586684640565089
-0.014814719681478777,46.212299286455995,6.7979628776903445,-0.020078997102593917,2.471695186993192,120.44800000000001,6.7979790204424155
-0.01673709498662141,71.00239557632167,8.426291923279283,-0.020071811408449155,0.62284562158308,101.878,8.426308545660447
-0.055014646124791164,124.10626126599183,11.140298975610657,-0.09029325967768127,1.0420677917725403,151.09,11.140434815449533
-0.004624357911884548,70.21526684060892,8.379455044369468,-0.17475158732224932,1.6470152042959896,124.09299999999999,8.379456320388275
-0.02827611961288964,127.78608376054245,11.30425069434248,-0.44084680051841935,3.4017897194248556,191.761,11.30428605881339
0.000545681452977924,120.13463373949236,10.96059458877539,-0.07843918430880957,1.1469830206620752,135.065,10.960594602358974
-0.06953389316477417,83.5617813957814,9.14121334374061,-0.2428361926972669,2.6313317946866386,183.636,9.141477799463281
-0.05523783598793542,208.1615854869858,14.42780598313499,-0.29989588241208687,2.662547139213525,223.18099999999998,14.42791172365254
-0.12023065112059389,88.35057418097578,9.399498613275911,-1.0808546514483677,14.762610012498218,246.57299999999998,9.400267527599661
-0.038112511500702884,67.16852899069691,8.19564085295939,-0.12883256184191683,1.6069159739382295,148.886,8.195729470537064
-0.02031454831567776,101.61568908667078,10.080460757657399,-0.07876136934346502,1.2373460415014907,124.12,10.080481226982371
0.01042853192384585,157.12427815824503,12.534922343526706,0.12592398283734105,1.1936793285947758,144.81799999999998,12.534926681577485
0.0006976673123887976,95.41869454965203,9.76824930832808,-0.02952145422995164,0.6818231453007413,140.537,9.768249333242458
-0.03091219523140577,84.89126932150643,9.21364582136227,-0.06653417340013291,1.8535018660709,199.88400000000001,9.213697677117501
-0.05554654048393379,119.5005889361426,10.9316324918167,0.022190593013190475,0.7209722524713778,129.668,10.93177361429985
0.038930907186609506,65.41596696388606,8.08801378361128,-0.004107649479848061,0.43667293717191225,81.505,8.088107478231258
0.006668044505994235,105.4738394392732,10.270045736961118,0.016594922223369675,0.6969617945344297,131.256,10.270047901645386
-0.04932682030668762,88.69644369780502,9.417878938370626,-0.029007310232263526,0.6491705642594208,101.74,9.418008113874535
