precision,recall,f1-score,support,accuracy
0.5,0.5,0.5,4.0,0.5
0.5,0.5,0.5,4.0,0.5
0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,8.0,0.5
0.5,0.5,0.5,8.0,0.5
