mean,std_dev,max,min,median,rms,max_power_freq,total_power,peak_frequency,mean_frequency,median_frequency,spectral_centroid,spectral_entropy,psd
-0.3026827144975644,12.409623348758004,47.909,-82.339,0.0085355,12.4133141619672,-0.1187502860482051,-15410761.589342613,,,,,,
-0.30268271449756445,12.409623348758004,47.909,-82.339,0.0085355,12.413314161967199,-0.11875028604820516,-15410761.589342613,-0.11875028604820516,-0.003985788158998153,-0.06659348301111266,-0.003985788158998153,,"[-6.88852101e+03 -3.70032853e+03 -2.06563166e+00 ... -1.10552973e-05
 -1.45899862e-05 -1.18758880e-05]"
