precision,recall,f1-score,support,accuracy
0.0,0.0,0.0,4.0,0.25
0.3333333333333333,0.5,0.4,4.0,0.25
0.25,0.25,0.25,0.25,0.25
0.16666666666666666,0.25,0.2,8.0,0.25
0.16666666666666666,0.25,0.2,8.0,0.25
